batch	filtSizes		channels			testHigh	epoc	
32	[3, 5, 7, 5, 3]		[512, 256, 128, 256, 512]		54.6875	58
32	[3, 5, 7, 5, 3]		[512, 256, 128, 256, 512]		51.953125	95
32	[3, 5, 7, 5, 3]		[512, 256, 128, 256, 512]		53.90625	99
32	[3, 5, 7, 5, 3]		[512, 256, 128, 256, 512]		53.125	107

32	[3, 5, 7, 5, 3]		[512, 256, 512, 256, 512]		50.0	111
32	[3, 5, 7, 5, 3]		[512, 256, 512, 256, 512]		52.34375	102
32	[3, 5, 7, 5, 3]		[512, 256, 512, 256, 512]		52.34375	83
32	[3, 5, 7, 5, 3]		[512, 256, 512, 256, 512]		51.171875	111
32	[3, 5, 7, 5, 3]		[512, 256, 512, 256, 512]		47.265625	36

32	[3, 5, 3, 5, 3]		[512, 256, 128, 256, 512]		51.953125	102
32	[3, 5, 3, 5, 3]		[512, 256, 128, 256, 512]		56.25	39
32	[3, 5, 3, 5, 3]		[512, 256, 128, 256, 512]		50.78125	77
32	[3, 5, 3, 5, 3]		[512, 256, 128, 256, 512]		48.046875	102
32	[3, 5, 3, 5, 3]		[512, 256, 128, 256, 512]		55.859375	55

32	[3, 5, 3, 5, 3]		[512, 256, 512, 256, 512]		60.546875	105
32	[3, 5, 3, 5, 3]		[512, 256, 512, 256, 512]		57.03125	112
32	[3, 5, 3, 5, 3]		[512, 256, 512, 256, 512]		51.953125	99
32	[3, 5, 3, 5, 3]		[512, 256, 512, 256, 512]		54.296875	69
32	[3, 5, 3, 5, 3]		[512, 256, 512, 256, 512]		51.171875	105

32	[3, 5, 7, 5, 3]		[1024, 512, 1024, 512, 1024]		56.25	98
32	[3, 5, 7, 5, 3]		[1024, 512, 1024, 512, 1024]		56.25	52
32	[3, 5, 7, 5, 3]		[1024, 512, 1024, 512, 1024]		59.765625	62
32	[3, 5, 7, 5, 3]		[1024, 512, 1024, 512, 1024]		55.859375	80
32	[3, 5, 7, 5, 3]		[1024, 512, 1024, 512, 1024]		47.65625	85

32	[7, 5, 3, 5, 7]		[1024, 512, 256, 512, 1024]		58.984375	112
32	[7, 5, 3, 5, 7]		[1024, 512, 256, 512, 1024]		57.8125	110
32	[7, 5, 3, 5, 7]		[1024, 512, 256, 512, 1024]		57.421875	39
32	[7, 5, 3, 5, 7]		[1024, 512, 256, 512, 1024]		53.515625	81
32	[7, 5, 3, 5, 7]		[1024, 512, 256, 512, 1024]		51.171875	99

32	[7, 5, 3, 5, 7]		[1024, 512, 1024, 512, 1024]		57.03125	40
32	[7, 5, 3, 5, 7]		[1024, 512, 1024, 512, 1024]		58.59375	116
32	[7, 5, 3, 5, 7]		[1024, 512, 1024, 512, 1024]		59.375	104
32	[7, 5, 3, 5, 7]		[1024, 512, 1024, 512, 1024]		60.15625	117
32	[7, 5, 3, 5, 7]		[1024, 512, 1024, 512, 1024]		57.421875	30
32	[5, 3, 5, 3, 5]		[1024, 512, 256, 512, 1024]		55.46875	118

32	[5, 3, 5, 3, 5]		[1024, 512, 256, 512, 1024]		54.6875	75
32	[5, 3, 5, 3, 5]		[1024, 512, 256, 512, 1024]		61.71875	42
32	[5, 3, 5, 3, 5]		[1024, 512, 256, 512, 1024]		53.515625	104
32	[5, 3, 5, 3, 5]		[1024, 512, 256, 512, 1024]		58.203125	38

32	[5, 3, 5, 3, 5]		[1024, 512, 1024, 512, 1024]		54.296875	113
32	[5, 3, 5, 3, 5]		[1024, 512, 1024, 512, 1024]		53.515625	87
32	[5, 3, 5, 3, 5]		[1024, 512, 1024, 512, 1024]		57.8125	117
32	[5, 3, 5, 3, 5]		[1024, 512, 1024, 512, 1024]		55.46875	68
32	[5, 3, 5, 3, 5]		[1024, 512, 1024, 512, 1024]		54.6875	62

32	[7, 5, 3, 5, 7]		[512, 256, 128, 256, 512]		55.078125	106
32	[7, 5, 3, 5, 7]		[512, 256, 128, 256, 512]		47.265625	15
32	[7, 5, 3, 5, 7]		[512, 256, 128, 256, 512]		55.078125	81
32	[7, 5, 3, 5, 7]		[512, 256, 128, 256, 512]		53.90625	116
32	[7, 5, 3, 5, 7]		[512, 256, 128, 256, 512]		50.78125	50

32	[7, 5, 3, 5, 7]		[512, 256, 512, 256, 512]		57.8125	90
32	[7, 5, 3, 5, 7]		[512, 256, 512, 256, 512]		55.859375	76
32	[7, 5, 3, 5, 7]		[512, 256, 512, 256, 512]		47.65625	40
32	[7, 5, 3, 5, 7]		[512, 256, 512, 256, 512]		48.4375	85
32	[7, 5, 3, 5, 7]		[512, 256, 512, 256, 512]		58.203125	73

32	[5, 3, 5, 3, 5]		[512, 256, 128, 256, 512]		50.78125	92
32	[5, 3, 5, 3, 5]		[512, 256, 128, 256, 512]		53.515625	44
32	[5, 3, 5, 3, 5]		[512, 256, 128, 256, 512]		54.296875	65
32	[5, 3, 5, 3, 5]		[512, 256, 128, 256, 512]		55.46875	108
32	[5, 3, 5, 3, 5]		[512, 256, 128, 256, 512]		54.6875	60

32	[5, 3, 5, 3, 5]		[512, 256, 512, 256, 512]		56.640625	89
32	[5, 3, 5, 3, 5]		[512, 256, 512, 256, 512]		55.078125	107
32	[5, 3, 5, 3, 5]		[512, 256, 512, 256, 512]		53.90625	44
32	[5, 3, 5, 3, 5]		[512, 256, 512, 256, 512]		55.46875	116
32	[5, 3, 5, 3, 5]		[512, 256, 512, 256, 512]		53.90625	83

32	[7, 5, 3, 5, 7]		[1024, 512, 1024, 512, 1024]		54.296875	59
32	[7, 5, 3, 5, 7]		[1024, 512, 1024, 512, 1024]		58.59375	100
32	[7, 5, 3, 5, 7]		[1024, 512, 1024, 512, 1024]		58.59375	99
32	[7, 5, 3, 5, 7]		[1024, 512, 1024, 512, 1024]		56.25	44
32	[7, 5, 3, 5, 7]		[1024, 512, 1024, 512, 1024]		58.59375	66

32	[5, 7, 9, 7, 5]		[1024, 512, 256, 512, 1024]		56.25	113
32	[5, 7, 9, 7, 5]		[1024, 512, 256, 512, 1024]		55.46875	118

